BRAD#30/20836#01	10.244.254.101
BRAD#30/20918#01	10.244.254.104
BRAD#30/28190#01	10.244.254.104
BRAD#30/20932#01	10.244.254.106
BRAD#30/20936#01	10.244.254.107
BRAD#30/20933#01	10.244.254.108
BRAD#30/20934#01	10.244.254.109
BRAD#30/20935#01	10.244.254.110
BRAD#30/20937#01	10.244.254.111
BRAD#30/29570#01	10.244.254.111
BRAD#30/20938#01	10.244.254.112
BRAD#30/20960#01	10.244.254.124
BRAD#30/20987#01	10.244.254.130
BRAD#30/21165#01	10.244.254.141
BRAD#30/21161#01	10.244.254.143
BRAD#30/21199#01	10.244.254.152
BRAD#30/21188#01	10.244.254.154
BRAD#30/28409#01	10.244.254.154
BRAD#30/21397#01	10.244.254.163
BRAD#30/21365#01	10.244.254.173
BRAD#30/21821#01	10.244.254.178
BRAD#30/21851#01	10.244.254.179
BRAD#30/22469#01	10.244.254.183
BRAD#30/22650#01	10.244.254.184
BRAD#30/28801#01	10.244.254.184
BRAD#30/22648#01	10.244.254.185
BRAD#30/22647#01	10.244.254.187
BRAD#30/22652#01	10.244.254.188
BRAD#30/22684#01	10.244.254.190
BRAD#30/54006#01	10.244.254.190
BRAD#30/22839#01	10.244.254.194
BRAD#30/25338#01	10.244.254.201
BRAD#30/25406#01	10.244.254.204
BRAD#30/25407#01	10.244.254.205
BRAD#30/25474#01	10.244.254.206
BRAD#30/28705#01	10.244.254.206
BRAD#30/25476#01	10.244.254.208
BRAD#30/25591#01	10.244.254.209
BRAD#30/16356#01	10.244.254.210
BRAD#30/20951#01	10.244.254.210
BRAD#30/29304#01	10.245.100.100
BRAD#30/50287#01	10.245.100.104
BRAD#30/50288#01	10.245.100.104
BRAD#30/50145#01	10.245.100.107
BRAD#30/50291#01	10.245.100.107
BRAD#30/27333#01	10.245.132.100
BRAD#30/27614#01	10.245.132.108
BRAD#30/27706#01	10.245.132.110
BRAD#30/27712#01	10.245.132.111
BRAD#30/27886#01	10.245.132.112
BRAD#30/27969#01	10.245.132.116
BRAD#30/50001#01	10.245.132.119
BRAD#30/28061#01	10.245.132.120
BRAD#30/28116#01	10.245.132.121
BRAD#30/28107#01	10.245.132.122
BRAD#30/28260#01	10.245.132.124
BRAD#30/28292#01	10.245.132.125
BRAD#30/28439#01	10.245.132.126
BRAD#30/28439#01	10.245.132.126
BRAD#30/28412#01	10.245.132.127
BRAD#30/28448#01	10.245.132.128
BRAD#30/28522#01	10.245.132.130
BRAD#30/50071#01	10.245.132.132
BRAD#30/28718#01	10.245.132.134
BRAD#30/28754#01	10.245.132.137
BRAD#30/28787#01	10.245.132.138
BRAD#30/50133#01	10.245.132.139
